Term,KS1 Definition,KS2 Definition,KS3 Definition,KS4 Definition,Oak definition (if different from pre-existing),"KS5 Definition
(live on Ada platform)",BCS Definition (incomplete),Exam Board Specific Definitions (GCSE),Exam Board Specific Definitions (A Level) 
,Ages 5-7,Ages 7-11,Ages 11-14,Ages 14-16,,Ages 16-19,,,
2D array,,,,A static data structure that holds data both horizontally and vertically. The structure is fixed and each element has the same data type.,,,,,
2D list,,,,A dynamic data structure that holds data both horizontally and vertically. The structure can change during program execution and the data types of the elements can be different.,,,,,
A* algorithm,,,,,,An algorithm that finds the shortest path between two nodes and uses a heuristic function to optimise performance.,,,
Abstract data type,,,,,,A conceptual model of the way that data is arranged and the operations that can be carried out on the data.,,,
Abstract syntax tree (AST),,,,,,"A tree representation of the key constructs of a piece of source code, showing the order of evaluation.",,,
Abstraction,,"A process of focusing on a specific aspect, whilst ignoring the wider context and/or some details ",,,,A set of techniques used to solve complex problems that involves removing unnecessary details so the main processes involved can be easily identified.,is removing unnecessary detail from a problem so the main processes involved can be more easily identified and understood.,,
Acceptable Use Policy (APU),,,,,,"An agreement between an organisation and its users that sets out how computer equipment, the network, and systems should be used, and specifies the ways in which their use is restricted.",,,
Accepting state,,,,,,A state that will be reached when a valid string is input.,,,
Access modifiers,,,,,,"Keywords that specify how the members (attributes and methods) of a class can be accessed. Common modifiers include 'public', 'private', and 'protected'.",,,
Access speed,,,,,,The speed at which data can be written to and read from a storage device.,,,
Addition,,,,Adding more than one number together.,,,,,
Address bus,,,,,,"A communication pathway that is used to carry the address of a memory location in order to either read data from, or write data to, that memory location.","Bus (including address and data bus) is a common physical pathway shared by signals to and from several components of a computer. In practice each bus has two parts, an address bus, which carries identification about where the data is being sent, and a data bus, which carries the actual information. ",,
Address bus width,,,,,,The number of parallel lines that make up the address bus. This will determine the amount of memory that can be addressed by the system.,,,
Addressing mode,,,,,,Part of a program instruction that specifies how the operand must be interpreted.,,,
Adjacency list,,,,,,A list of nodes and their adjacent nodes.,,,
Adjacency matrix,,,,,,A two-dimensional array used to store graph data.,,,
Aggregation,,,,,,"Defines a 'has-a' relationship between two classes. In aggregation, the objects can exist independently of each other.",,,
Agile methodology,,,,,,A software development methodology used to manage the stages of the software development life cycle.,Agile development describes the responsive development of a system made of small software modules (often web-based applications) by a group of collaborators who work concurrently and closely under a leader who ensures engineering best practice and delivery of the customer requirement.,,
Algorithm,Algorithm - is a precise set of ordered steps which can be followed by a human or a computer to do a task.,Algorithm - is a precise set of ordered steps which can be followed by a human or a computer to do a task.,,A series of instructions that end when the problem is solved.,An algorithm is a sequence of steps that can be followed to do a task. ,A finite and well-defined sequence of steps that need to be followed to perform a task.,"is a sequence of steps designed to perform a particular task. An algorithm may be constructed to describe the operation of a complete system or to describe a particular part of it. Standard algorithms have been developed to do specific common tasks, such as a particular method of sorting a set of data. Many have been published and are available for general use. Algorithms include precise details about the operations to be performed and in what order. An algorithm is a sequence of instructions including information such as when sections are repeated or choices made.",,
Analogue sound,,,,This refers to sounds that are all around us in the non-digital world,,,,,
AND,,,,,,A Boolean operation that outputs True if both input values are True.,,,
Anomaly,,,,,,A deviation from the common rule that does not fit into any established pattern.,,,
Append,,,,Adding to an existing data structure.,,,,,
Append mode,,,,,,A file handling mode that allows a program to write extra data at the end of a file without erasing the existing contents of the file.,is adding a new item at the end of an existing file.,,
Append operator (++),,,,,,Used to add a new item or items to the end of a list.,,,
Application software,,,,,,"Software designed to carry out a task for an end user, such as creating a document or sending an email.","An applications program, frequently abbreviated to application, is software designed to carry out a task (such as keeping accounts, editing text) that would need to be carried out even if computers did not exist.",,
Arc,,,,,,A connection between two nodes in a graph data structure. Also called edge.,,,
Argument,,,,The values held in the brackets of a subroutine call. These are passed into a subroutine via the parameters.,,A data value or reference passed to a subroutine as required by its defined parameters.,"When the function or procedure is used, the calling program must pass parameters to it (parameter passing). The formal parameter links the data in the calling program (which will change) to its use in the function or procedure. The data item supplied, known as an actual parameter or argument, is passed to the local variable.",,
Arithmetic expression,,,,An expression that results in a numeric value.,,,,,
Arithmetic logic unit (ALU),,,,,,A component of the processor that performs arithmetic operations and logical comparisons.,is the part of the central processing unit where data is processed and manipulated. It is also called the arithmetic unit. The processing and manipulation of data normally consists of arithmetic operations or logical comparisons allowing a program to take decisions.,,
Arithmetic operators,,,,"Arithmetic operators are those which are used in order to perform a mathematical
function between 2 variables or values (AQA)",,"Operators that perform mathematical operations on data, such as addition or division.",,,
Array,,,,A fixed (static) data structure that holds items of the same data type under one name.,,A data structure whose elements can be accessed directly by index. The position of each element is computed at runtime.,"is a set of data items of the same type grouped together using a single identifier. Each of the data items is addressed by the variable name (identifier) and a subscript. A column of data like this is called a list or a one-dimensional array, Name(1). Many languages have subscripts starting at zero.Arrays may have many dimensions, and have a subscript for each dimension. On paper two-dimensional arrays are the same as tables (with rows and columns) and are sometimes called tables in the computing context.",,
Artificial Intelligence,,"The study, use, and development of computer systems that make autonomous predictions rather than following pre-programmed instructions",,,,,,,
ASCII,,,,Acronym for American Standard Code for Information Interchange. It is used to represent characters with a numerical value.,,"American Standard Code for Information Interchange. An encoding format that allocates a numeric code to characters (e.g. digits, letters, punctuation marks, etc.) in order for them to be represented in binary within a computer system.","is the set of symbols that may be represented in a computer at a particular time. These symbols, called characters, can be letters, digits, spaces or punctuation marks; the set includes control characters.",,
Assembler,,,,An assembler translates assembly language into machine code.,,A program that translates assembly code into machine code.,,,
Assembly language,,,,A language that replaces machine code with mnemonics and operands to make them easier to read / write.,,A low-level programming language that uses mnemonics to represent machine code operations.,"he use of mnemonics or words to specify the address of a store location is called symbolic addressing. This is used in assembly language programming where the address of a store location is specified by means of an identifier, normally in the form of a word or mnemonic, rather than the numeric value of the memory address.",,
Assignment,,,,Assigning a value to a variable.,,,,,
Asynchronous communication,,,,,,A method of communication where data is transmitted over a channel that is not controlled by a shared clock signal.,,,
Attribute,"Attribute (Property) - A word or a phrase which can be used to describe an object such as its colour, size or price","Attribute (Property) - A word or a phrase which can be used to describe an object such as its colour, size or price",,"Properties or characteristics of an entity. E.g. player name, player score",,,,,
Attribute (databases),,,,,,A property or characteristic of a database entity. The attributes specify the data items that are used to define an entity.,,,
Attribute (OOP),,,,,,A property of an object. The attributes specify the data items that are used to define the object.,,,
Authentication,,,,,,A security measure used to verify a user's identity and level of permissions.,is checking the identity of the user of a transaction handling system. There are various methods that check the applicant against known features (the ‘profile’) of the user and any failure results in the applicant being blocked from access to the system.,,
Back-up,,,,,,"A copy of a program or the entire contents of a storage device, usually kept on a separate device, which can be used to recover the data if the original device fails.",,,
Backtracking,,,,,,A technique for solving problems recursively.,,,
Bandwidth,,,,,,A measure of how much data can be transferred in a specific amount of time.,"is a measure of the capacity of a communications channel. It is the range of frequencies that a channel can handle. Bandwidth may be given as a frequency (range), such as 3 kHz, or as a transmission rate in bits per second (bps), such as 63 kbps. Transmission rate is often referred to as line speed. For example, channels might be described as having line speeds of 56k or 64k, meaning 56 kbps or 64 kbps.",,
Barcode,,,,,,A means of representing data in machine-readable form. Barcodes have traditionally represented data by a set of parallel lines of varied width and spacing.,,,
Base 10,,,,"A number system that has 10 digits: 1, 2, 3, 4, 5, 6, 7, 8, 9, 0",,,,,
Base 16,,,,A number from the hexadecimal number system. ,,,,,
Base case,,,,,,A value for which there is a solution for a basic instance of a problem and which provides a stopping condition for recursion.,,,
Baud rate,,,,,,The speed of data transmission. The number of times per second that a signal changes (or could change).,is the numerical measure of the speed at which signals are transmitted over (wired or wireless) data links. The baud rate is an earlier measure now largely confined to telecoms engineering.,,
BIDMAS,,,,"Acronym used to show the order of operations in an arithmetic expression. Brackets, Indices, Division, Multiplication, Addition and Subtraction. Add and subtract are interchangeable and should be read from left to right.",,,,,
Big Data,,,,,,Data that is too large and complex to be dealt with by traditional processing methods and systems.,,,
Big O,,,,,,A formal notation for expressing the time or space complexity of an algorithm.,,,
Binary,,,,A way to describe something that has two states.,,A number system that uses two distinct symbols (the digits 0 and 1) to represent a number. Also called base-2.,,,
Binary (or base-2),,,,A number system that has 2 digits: 1 and 0.,,,"is a single digit in a binary number; it is either a 0 or a 1. It is the smallest unit of storage, since all data is stored as binary codes.",,
Binary addition,,,,,,The process of adding two binary numbers.,,,
Binary file,,,,,,A file that stores data as binary sequences that can be interpreted by a computer system but are not in a human-readable format.,,,
Binary search,,,,,,An algorithm to search for an item in a sorted data set. It discards half of the remaining data with each comparison and repeats the process until the item is found or until the data set is exhausted.,"is a particularly efficient search method. It only works if records in the file are in sequence. A binary search involves accessing the middle record in the file and determining whether the target record has been found or, if not, is before or after in the sequence. This process is repeated on the part of the file where the target record is expected, until it is found. The maximum number of tries to find a single item is the base 2 logarithm of the number of records, that is, 10 tries for a 1000-record file or three tries for the eight-record",,
Binary search tree,,,,,,A data structure that is designed for efficient searching where each node's value is greater than that of all nodes in its left subtree and less than that of all nodes in its right subtree.,,,
Binary shift left,,,,,,Moving all the bits of a binary sequence one place to the left.,,,
Binary shift right,,,,,,Moving all the bits of a binary sequence one place to the right.,"to the right causes a bit at the right-hand end of the register to be lost at each shift, and a copy of the sign bit is moved in at the left-hand end. This operation preserves the sign of a number and has the effect of dividing a binary number by two at each shift, regardless of the representation system or whether the number is negative or positive. The division will be inaccurate because of the truncation caused by the loss of a digit at each shift.",,
Binary tree,,,,"A binary tree is made up of nodes and branches. Each node can have a maximum of two child nodes. 
This is where the term binary tree comes from (two/binary).",,A rooted tree where each node has a maximum of two child nodes.,,,
Biometric,,,,,,A physical characteristic that can be used to authenticate an individual person.,"is a unique physical characteristic of an individual that can be checked automatically by a computer. The individual’s biometric is measured by a special scanner and used with the user ID (see above) in a similar way to a password. Finding physical characteristics that can not be copied has been difficult but viable systems include fingerprints, iris scans and retina scans (the pattern of veins at the back of the eye). Face recognition and voiceprints have so far proved to be unreliable for use as biometrics.",,
BIOS,,,,,,"Basic Input/Output System. Software that is stored in non-volatile memory, that carries out checks on core system components and starts up (boots) a computer system to the point where management and control can be passed to the operating system.",is a machine-code program that handles the low-level input and output operations such as those relating to the keyboard and screen of the system. It provides an interface between the hardware and the operating system. Suppliers usually provide the BIOS with the hardware in the form of firmware. It is usually considered to form the lowest layer of the operating system.,,
Bit,,,,Storage term used to describe a 1 or a 0 in computer science. ,,A binary digit. The basic unit of data within a computer system that has the value 0 or 1.,"is a single digit in a binary number; it is either a 0 or a 1. It is the smallest unit of storage, since all data is stored as binary codes.",,
Bit pattern,,,,A unique string of binary digits used in a representation. ,,A unique string of binary digits used in a representation.,,,
Bit rate,,,,,,The number of bits that are transmitted over a communications channel per second.,,,
Bitmap,,,,"An image made up of pixels, each pixel is a block of colour that has a binary bit pattern associated with it. A bitmap is a map of all of those bit patterns. ",,,,,
Bitmapped graphic,,,,,,A type of digital image that is stored as an array of pixels. Each pixel is represented by a single colour code. Also called bitmapped image.,,,
Bitmapped image,,,,,,A type of digital image that is stored as an array of pixels. Each pixel is represented by a single colour code. Also called bitmapped graphic.,,,
Black box testing,,,,,,Testing that does not rely on understanding the inner workings of a program.,,,
BNF,,,,,,Backus-Naur Form. A formal notation for describing a context-free language such as a programming language.,"though not a programming language, is often used to describe other languages. The name comes from its two inventors, although it is sometimes held to be ‘Backus Normal Form’. A BNF description is expressed as a series of replacement rules that describe how some elements of the language are built up from choices of simpler elements. ",,
Boolean algebra,,,,"Boolean Operators are those which are used to test a true or false condition on
variables and conditions in order to change the flow of a program (AQA)",,A branch of algebra where the variables have one of two possible values â€” True or False. These values are often expressed as 1 and 0.,"is a set of rules for manipulating truth values according to truth tables, and is named after the mathematician George Boole (1815–64). Boolean algebra is important in computing because the truth values (or Boolean values) in Boolean algebra, true and false, can be represented as the binary digits 1 and 0.",,
Boolean data type,,,,A value that is either True or False.,,,,,
Boolean expression,,,,An expression that evaluates as True or False. Also known as a logical expression.,,"A logical statement, made up of Boolean variables, Boolean constants and Boolean operators that will always evaluate as True or False.",,,
Boolean identity,,,,,,A relation between two elements that always holds true for all possible values of the variable(s).,,,
Boolean operator,,,,"An operator used in a Boolean expression. For example AND, OR and NOT. Also known as logical operators.",,"An operator that perform a logical comparison, such as AND, NOT, or OR. Also called logical operator.","combine truth values, using operators such as or, and, not to produce another truth value, which can only be TRUE or FALSE. This result can control the flow of a program using IF, WHILE or REPEAT UNTIL statements. In other contexts Boolean operators may be known as logical operators.",,
Boolean variable,,,,,,A variable that takes one of only two values: True or False. These values are represented in binary as $1$ or $0$. Some systems will display the values as Yes/No.,,,
Boundary data,,,,Data that should be accepted by a program. It tests the data right at the boundary of a range.,,Test data that is on the limit of the acceptable range of valid data.,,,
Breadth-first search,,,,,,A method of searching a graph data structure that visits all nodes adjacent to the current node before moving on. Uses a queue to support the process.,,,
Browser,,SEE: Web browser,,,,,,,
Brute force attack,,,,,,A method of systematically trying all possibilities to find secret information (eg a password or encryption key).,,,
Bubble sort,,,,,,A sorting algorithm that repeatedly compares pairs of values within a list and swaps them if they are out of order.,is a simple algorithm popular with inexperienced programmers. It is inefficient when sorting large amounts of data as the time taken is related to the square of the number of items. If 10 items take 1 ms then 100 items will take 100 ms (this is 10 times the number of items and so the time will be 102 or 100 times longer). It works by swapping adjacent data items until they are in order. The name is derived from the effect of data items ‘bubbling up’ through the data until their correct position is reached.,,
Bus,,,,,,"A communication pathway along which signals are transmitted. Historically, a set of parallel wires.",is a common physical pathway shared by signals to and from several components of a computer.,,
Bus topology,,,,,,The arrangement (usually logical) of a network where devices are connected over a shared main cable.,,,
Byte,,,,A storage type that is equivalent to 8 bits or 2 hexadecimal numbers. ,,Eight bits of binary data.,is a group of 8 bits.,,
Bytecode,,,,,,"Low-level code, produced by a compiler, that can be interpreted by a virtual machine.",,,
Cache,,,,,,"High-speed memory used to hold the data that is accessed most frequently, to improve processor performance.","is a part of the main store, between the central processor and the rest of the main store. It has extremely fast access, so sections of a program and its associated data are copied there to take advantage of its short fetch cycle (see fetch-execute cycle). The use of cache memory can greatly reduce processing time.",,
Caesar cipher,,,,Named after Julius Caesar. A caesar cipher is one of the oldest and simplest forms of encryption that involves shifting letters of the alphabet by a defined amount to create an encrypted message.,,A simple substitution cipher in which each letter is shifted by a certain number of places.,,,
Call stack,,,,,,A stack that is used to store information (stack frames) relevant to all subroutines that are currently running within a program.,,,
Cardinality,,,,,,The number of (distinct) elements in a set.,,,
Cartesian product,,,,,,The set of all ordered pairs formed by multiplying the elements of two sets.,,,
Casting,,,,,,Changing the data type of a piece of data from one type to another.,,,
CD (compact disc),,,,,,An optical storage device.,,,
Central processing unit (CPU),,,,,,The part of the computer that executes program instructions to process data. It also handles main memory and input-output operations.,,,
Certification Authority,,,,,,A trusted organisation that can authenticate the certificate for a website provider.,,,
Character,,,,A single character of string.,,"A single letter, number, or symbol.",,,
Character code,,,,A numeric code assigned to character in a character set. ,,,,,
